,date,open,close,high,low,volume,code
129,2019-09-10,43.88,43.0,43.88,42.75,166026.0,300014
130,2019-09-11,43.5,43.55,45.1,43.1,195740.0,300014
131,2019-09-12,44.41,39.2,44.42,39.2,294409.0,300014
132,2019-09-16,39.0,38.11,39.2,36.69,498967.0,300014
133,2019-09-17,37.89,38.41,39.48,37.61,260833.0,300014
134,2019-09-18,37.99,36.3,37.99,35.0,465110.0,300014
135,2019-09-19,36.6,36.55,37.34,36.13,269270.0,300014
136,2019-09-20,36.8,34.89,36.8,33.8,568429.0,300014
137,2019-09-23,34.14,31.4,34.2,31.4,446350.0,300014
138,2019-09-24,30.0,31.9,32.66,30.0,646424.0,300014
139,2019-09-25,31.48,30.87,31.56,30.33,425444.0,300014
140,2019-09-26,31.18,31.23,31.68,29.7,474810.0,300014
141,2019-09-27,31.36,31.45,31.78,30.4,332165.0,300014
142,2019-09-30,31.25,30.39,31.25,30.22,217217.0,300014
143,2019-10-08,30.39,29.91,30.47,29.2,207414.0,300014
144,2019-10-09,31.5,32.9,32.9,31.33,540414.0,300014
145,2019-10-10,33.4,34.58,35.29,33.0,605250.0,300014
146,2019-10-11,34.2,33.39,34.52,33.14,441734.0,300014
147,2019-10-14,33.98,33.28,34.27,33.05,369937.0,300014
148,2019-10-15,33.22,34.0,34.0,32.45,344904.0,300014
149,2019-10-16,33.85,35.05,36.38,33.62,459776.0,300014
150,2019-10-17,35.11,34.54,35.66,34.42,262244.0,300014
151,2019-10-18,34.5,32.96,34.57,32.7,318707.0,300014
152,2019-10-21,32.84,33.08,33.49,32.4,170392.0,300014
153,2019-10-22,33.13,33.2,33.3,32.71,136808.0,300014
154,2019-10-23,33.12,33.03,34.15,33.03,215627.0,300014
155,2019-10-24,33.31,33.16,33.74,32.61,162986.0,300014
156,2019-10-25,33.3,34.44,34.48,32.7,271428.0,300014
157,2019-10-28,33.92,35.19,35.58,33.71,373047.0,300014
158,2019-10-29,35.02,36.01,37.75,34.96,484496.0,300014
159,2019-10-30,36.25,37.37,37.88,36.11,422462.0,300014
160,2019-10-31,38.99,36.91,39.17,36.5,466508.0,300014
161,2019-11-01,37.29,38.3,38.3,36.91,302955.0,300014
162,2019-11-04,37.1,36.71,37.94,35.81,528737.0,300014
163,2019-11-05,37.17,40.38,40.38,37.17,625376.0,300014
164,2019-11-06,41.21,40.15,41.45,39.5,533842.0,300014
165,2019-11-07,40.2,39.15,40.4,38.68,405428.0,300014
166,2019-11-08,39.15,39.06,39.88,38.73,278909.0,300014
167,2019-11-11,39.3,39.13,40.5,38.8,276909.0,300014
168,2019-11-12,39.0,38.08,39.25,36.88,282808.0,300014
169,2019-11-13,38.2,39.46,39.92,37.81,258733.0,300014
170,2019-11-14,39.8,39.41,40.35,39.25,212935.0,300014
171,2019-11-15,39.91,39.7,40.12,38.36,220837.0,300014
172,2019-11-18,39.97,39.0,40.08,38.4,186846.0,300014
173,2019-11-19,39.26,40.3,40.65,38.01,262832.0,300014
174,2019-11-20,40.3,42.12,42.98,40.3,344373.0,300014
175,2019-11-21,41.64,42.0,43.14,41.62,227808.0,300014
176,2019-11-22,42.5,41.48,43.5,40.85,312445.0,300014
177,2019-11-25,41.82,41.83,41.95,39.45,230743.0,300014
178,2019-11-26,42.68,45.14,45.87,41.88,425530.0,300014
179,2019-11-27,44.7,45.31,47.37,43.9,373958.0,300014
180,2019-11-28,45.32,45.09,47.34,44.5,340748.0,300014
181,2019-11-29,44.85,44.78,46.25,44.38,232608.0,300014
182,2019-12-02,44.74,45.2,45.58,44.01,174406.0,300014
183,2019-12-03,45.4,48.22,48.3,44.9,334571.0,300014
184,2019-12-04,47.51,48.55,48.66,47.5,228344.0,300014
185,2019-12-05,48.45,48.07,50.2,48.06,282125.0,300014
186,2019-12-06,48.38,49.58,49.89,47.8,218267.0,300014
187,2019-12-09,50.06,50.0,50.5,48.72,218705.0,300014
188,2019-12-10,49.83,49.87,50.46,49.28,151580.0,300014
189,2019-12-11,49.84,46.91,50.29,46.41,363751.0,300014
190,2019-12-12,47.18,47.75,48.47,47.01,205032.0,300014
191,2019-12-13,48.2,52.53,52.53,48.16,432361.0,300014
192,2019-12-16,53.8,56.03,57.34,53.0,422789.0,300014
193,2019-12-17,55.93,56.34,56.56,54.43,292954.0,300014
194,2019-12-18,55.57,54.13,55.79,53.66,335113.0,300014
195,2019-12-19,53.35,54.29,54.88,53.35,199039.0,300014
